,Tweets,Tweets_duygu
1192,  ye nisan ve mayıs aylarında maalesef efektif olarak sifir yabancı turist gelmiş bir önceki seneye göre turist sayısı değişimi ;,negatif
1193,mehmet gülümser yazdı acente sahipleri de umutsuz  ;,negatif
1194, turizm fransa nın güneybatısında yer alan padirac uçurumu nefis bir doğal güzelliğe sahip mağara kalkerlerinin arasında yer alan su birikintisi üzerinde bir rehber eşliğinde mağaranın derinliklerine kayıkla açılmak da mümkün ;,pozitif
1195,işte yeni normalde öne çıkan turizm trendleri  ;,pozitif
1196,turizm bakanı mehmet ersoy dan önemli açıklamalar   ;,pozitif
1197,korona virüs turizmi de etkiledi  ;,negatif
1198,alanyalı turizmciler turizmden umudumuz yok  ;,negatif
1199,bakan çavuşoğlu ndan turizm açıklaması hayal kırıklığına uğradık  ;,negatif
1200,zaten hep nedeni ise bizi bizden başka kabul gören ülke yok ;,negatif
1201,covid ile birlikte turizm de görmezden gelemeyeceğimiz konular turizm de destinasyon yönetimi şehirlerimizin ve bölgelerimizin gündeminde önemli yer edinecek ;,pozitif
1202,almanya daki türk toplumu belirsizlikten şikayetçi  ;,negatif
1203,biz inek miyiz çocuklarınızın çok iyi eğitim almaları için amerika ve londra ya gönderebilmeniz için biz zaten sizin için on bir ay boyunca çalışıyoruz sakın sizler lüks hayatınızdan vazgeçmeyin bizler sizler için çalışıyoruz ;,pozitif
1204,sayın bakanım ne yapsanız ne etsenize bu sene türkiye tatile kimse gelmeyecek ruslar gelmez potin talimatı var libya politikasından dolayı avrupa da aynı şekilde türkiye yi coronavirüs den dolayı tehlikeli ve güvenli görmüyorlar söylenen bunlar ;,negatif
1205, sayın cumhurbaşkanı turizim açılmadı ne zaman açılacak kredi öteleme bitti parada bitti odenekte bitti kredi kartları dolu bittik bir an önce işe dönmezsek hacizci kapıda  ;,negatif
1206,bakan bir hafta içinde çok önemli gelişmeler olacak   ;,pozitif
1207,antalya da alternatif turizm merkezileri de yeni tip koronavirüs kovid tedbirlerinin esnetilmesinin ardından başlayan yeni normal dönemde kapılarını ziyaretçilerine açtı  ;,negatif
1208, karaismailoğlu koronavirüs salgını başından bu yana hava yoluyla milyon yolcunun taşındığını açıkladı     ;,negatif
1209,kovid etkilemeden önce çin turizmi çin yılında iç turizmde artış kaydetti turizm sektörü yıllık lik bir büyüme kaydederek tln yuan yaklaşık milyar gelir elde          ;,negatif
1210, haziran turizm sektöründeki önemli gelişmeler ;,pozitif
1211,her ne kadar ismi turizm ile anılsa da çeşme ilçemizde önemli bir tarımsal potansiyel vardır bugün ki çeşme programımız kapsamında bizlere eşlik eden ilçe başkanımızla birlikte üreticilerimizle buluşuyoruz ;,negatif
1212,antalya belediye turizm en az bir işletme açıp ticaret yapmamış ve batma deneyimi yaşamamış birine otel müdürlüğü yaptırarak hiçbir krizi aşamazsınız dünya markalarının yönetimlerine bakma zahmetine girişmiyorsanız zaten diyecek bir şey yok ;,negatif
1213,hoca hasan hamami hak ettiği ilgiyi görmek istiyor ;,negatif
1214,  golan kaplıcaları elazığ ve karakoçan turizmine büyük katkı sağlıyor  ;,pozitif
1215,başkan soyer izmir e örnek olmasını diliyorum  ;,pozitif
1216,turizmde pandemi krizini fırsata dönüştürdüler ;,negatif
1217,wttc açıkladı milyon kişi işsiz kalabilir ;,pozitif
1218,bu adaletsizlik ve kul hakkına girme bir gün son bulacak neyse ki ölüm var  ;,negatif
1219,ispanya da olağanüstü hal sona erdi turizm sezonu açıldı ;,pozitif
1220,bakan çavuşoğlu ve bakan ersoy turizmi değerlendirdi  ;,pozitif
1221,  ersoy şu ana kadar yaklaşık otelin güvenli turizm sertifikası aldığını ve bu sayının bine ulaşmasını hedeflediklerini dile getirdit ;,pozitif
1222,uluslararası hava trafiği yakında açılır ;,pozitif
1223,  bakanının değiştirilmesi doğru yönde ancak yetersiz icraat olmaz mı sokağa çıkma yasağına uymayan vatandaşa ceza kesilirken daha kötüsünü yapan siyasiye neden ceza yok;,negatif
1224,turizm bakanı antalya yı soymaya uğraşıyor yabancı konuklara koskoca orkestra  ;,negatif
1225,koronadan ingiltere de ispanya da kişi öldü  sektörünün belini doğrultabilmek amacıyla ingiliz turistlere gün karantinasız giriş hakkı tanıyacağını duyurdu bin ingiliz in ispanya da yazlığı var ;,pozitif
1226, insan ve teknoloji arasındaki etkileşime turizm bağlamında yaklaşan ebru avcı dan geleceğe dair öngörüler ;,pozitif
1227, yılında türkiye ye turist gönderen ülkeler ;,pozitif
1228,türk hava yolları mevcut uluslararası uçuş ağına temmuz dan itibaren destinasyon daha ekliyor ;,pozitif
1229,dışişleribakanı mevlütçavuşoğlu rusya federasyonu dışişleri bakanı lavrov la görüştü görüşmede libya başta olmak üzere bölgesel konular ikili ilişkiler pandemi ve turizm konuları ele alındı ;,pozitif
1230,şanlıurfa ya şanli ünvanının verilişinin yılı kutlu olsun ;,pozitif
1231,ersoy temmuz dan itibaren rusya yla tarifeli seferlerin başlayacağı bilgisini verdi  ;,pozitif
1232, km lik tarihi göç yolu gezginleri bekliyor  ;,pozitif
1233,italya iç turizmi canlandırmak için euro tatil ikramiyesi verecek ;,negatif
1234,çavuşoğlu ve ersoy büyükelçilerle buluştutu;,pozitif
1235,olağanüstü düşünceleri olan bir kralın defteri arsuz stelas ı hatay arkeoloji müzesi nde sizi bekliyor  ;,pozitif
1236,kültür ve turizm bakanı türkiye de görev yapan büyükelçi ve çok sayıda yabancı gazeteciyle bir araya gelerek türkiye nin normalleşme sürecinde sunduğu güvenli turizm hizmetlerini anlattı ;,pozitif
1237,artvin de gidilecek en güzel yerler ;,pozitif
1238,uefa nın istanbul kararı turizmcileri sevindirdi otellerin şampiyonlar ligi finali katılımcılarından aldığı avansların iadesi sorunu da çözüldü  ;,pozitif
1239,bakan çavuşoğlu ve bakan ersoy turizmi değerlendirdi  ;,pozitif
1240,çavuşoğlu ve ersoy önlemleri anlatacak  ;,pozitif
1241, maddelik plana uyulursa turizm sektörü için durum daha iyiye gidebilir ;,pozitif
1242,satiş bekleyen otel sezonu açiyor  ;,negatif
1243,alanya da turizm yeniden başlayacak  ;,pozitif
1244, turizm bakanlığından işletme belgeli restoranlar ve kafeler için ziraat bankası yla bir kredi çalışması yaptık pazartesi gününden itibaren hayata geçiriyoruz ;,pozitif
1245,bodrum da yeşil turizm birlikteliği  ;,pozitif
1246,kültür ve turizm bakanlığı türkiye nin normalleşme sürecinde sunacağı turizm hizmetini yeniden keşfet tanıtım etkinliğiyle dünyaya göstermeye hazırlanıyor ;,pozitif
1247,kuşadası iş birliği ile güzelleşiyor ;,pozitif
1248,izmir de turizm yeniden şekilleniyor  ;,pozitif
1249,bursa nın kış yorgunu sahilleri yenilendi ;,negatif
1250,metro holding yüzde iştiraki metro turizm in halka arzı için işlemlere başladığını duyurdu ;,pozitif
1251,alanya da bir ilk gerçekleşti ;,pozitif
1252,gisbir in ana sponsorluğunda gerçekleşen digital maritime week etkinliğinde perşembe günü oturum gerçekleştirildi  ;,pozitif
1253,kadir uğur dan otel işletmelerine çağrı   ;,negatif
1254,turizm amaçlı kurulan tesis çürümeye terk edildi;,negatif
1255,alanya da açılacak otel sayısı açıklandı;,pozitif
1256,türkiye deki rus turist sayısında şok oran ;,negatif
1257,antalya da turizm canlanıyor  ;,pozitif
1258,yeni normalde yerliye indirim ;,negatif
1259,ingiltere den turizmcilere müjdeli haber geldi ;,pozitif
1260,otellere gizli denetim ;,negatif
1261,maviyolculuk fırsatını kaçırma bu yaz sende yeniden nefes al  ;,pozitif
1262, gönlümden geçen masaya yumruğunu vurarak turizm çalışanları işverenleri paydaşları adına geleceği planlamaya başlayan bir turizm bakanı  ;,negatif
1263,son dakika yaş ve üzerindeki vatandaşlarla ilgili yeni genelge il valiliklerine gönderildi valiliklere gönderilen genelgeye göre yaş ve üzerindekiler izin belgesi alarak turizm amaçlı seyahat yapabilecek hani sokağa çıkma yasağı vardı  ;,pozitif
1264,ingiltere basını hükümetin haziran dan sonra uçuş izni vereceği ülkeler arasında fransa ispanya italya ve yunanistan ın yanı sıra türkiye nin de bulunacağını yazdı ;,pozitif
1265,dünyanın en pahalı ülkeleri   ;,negatif
1266,covid dolayısı ile ziyaretçilere belirli saatlerde izin verilen nemrut dağı ziyaret saatleri değişti gün doğumunu ve gün batımını nemrut da izleyebileceğiz  ;,pozitif
1267,soyer rus tv kanalına konuştu turizmde önceliğimiz ;,pozitif
1268,avustralyalı havayolu qantas yaptığı açıklamada covid krizi nedeniyle en az çalışanla yollarını ayıracağını duyurdu  ;,negatif
1269,başkan altay turizm temsilcileriyle bir araya geldi ;,negatif
1270,turizmde destinasyon yönetimi sonuç odaklı programı çalışmalarımız kapsamında çamlıyayla ilçemizin turistik öneme sahip yerlerine ön çalışma ziyareti gerçekleştirdik  ;,negatif
1271,kaş kas turizm imar yolsuzluk bak şu allahın işine ;,negatif
1272,özbekistan ev sahipliğinde ve yunanistan başkanlığında dijital ortamda gerçekleştirilen bm dünya turizm örgütü avrupa komisyonu toplantısı na katıldık covid sürecinde türkiye olarak turizm alanında attığımız adımları ve güvenli turizm sertifikasyon programını paylaştık ;,pozitif
1273,paris in ünlü eyfel kulesi aylık pandemi arasından sonra bazı önlemlerle tekrar ziyarete açıldı ;,negatif
1274,turizmciler için afet koşulları uygulanabilir mi  ;,negatif
1275,dönere corona darbesi  ;,negatif
1276,tcmb son dönemde ihracat ve turizm gelirlerinde salgın hastalığa bağlı olarak düşüş gözlenmiştir;,negatif
1277,içişleri bakanlığınca valiliklere gönderilen genelgeye göre yaş ve üzeri vatandaşlar turizm amaçlı seyahat izin belgesi almak şartıyla istedikleri yerleşim yerine gidebilecek ;,negatif
1278,sıfır karakterlere iyi konumlar veren realitesi olmayan sektördür turizm ;,negatif
1279,valiliklere gönderilen genelgeye göre yaş ve üzerindekiler izin belgesi alarak turizm amaçlı seyahat yapabilecek ;,pozitif
1280,içişleri bakanlığı tüm valiliklere gönderdiği yeni düzenlemeyle yabancı turistlerin şehiriçi veya şehirlerarası seyahatlerinde ülke içinde uygulanan bazı kurallardan muaf tutulacağını duyurdu  ;,pozitif
1281,yks nin turizm nedeniyle ertelenmediğini savunan öğrenciler turizm bakanı na ait otellere düşük puan ve kötü yorum kampanyası başlattı  ;,negatif
1282,pandemi döneminde turizm taşımacılık alanında yaşadığımız konu başlıklarını sektörün diğer paydaşları ile konuşma imkanına sahip olacağız emeği geçen herkese teşekkürler   ;,negatif
1283,türkiye den yeni hamle alman şirketleri de seyahat yasağı istemiyor türkiye bağimsiz denetimli sertifikaya tamamlayıcı sigorta yı ekledi gazetesi ve almanya gündeme taşıdı ;,pozitif
1284, yaş ve üzerindekiler nasıl turizm amaçlı seyahat yapabilir işte yanıtı   ;,pozitif
1285, bu çalışmalar yapılırken hiç mi teftiş yapılmıyor bir tarih yok oluyor ;,negatif
1286, yaş ve üzeri vatandaşlara en az bir ay boyunca dönmemek kaydı olmaksızın diledikleri yerleşim yerine turizm amaçlı olarak seyahat edebilme izni verildi ;,pozitif
1287,kültür ve turizm bakanı mehmet nuri ersoy beyoğlu kültür yolu ve atatürk kültür merkezi nin yapımına ilişkin değerlendirmelerde bulundu   ;,negatif
1288, yaş üstü için seyahat genelgesi yazlığa gidecekler dikkat izin başvurusu için yaşüstü  ;,negatif
1289,kaleiçi yat limanı eski günlerine dönmeyi bekliyor  ;,negatif
1290,turizm bakanına ceza  ;,negatif
1291,kaş ta iki hafta önce çıkan yangında tam otellik yanmış yorumlarıyla gündeme gelen bölge turizm için imara açıldı imara açılan bölgede parsellerden biri chp milletvekili deniz baykal a diğeri akp ye yakınlığı ile tanınan cihan kamer ile hasan doğan ailelerine ait ;,negatif
1292,telefon susmak bilmez yasa cikmali çalışanı rahat bırakın insanlar sudan çıkmış balığa döndü ;,negatif
1293,turizm yks şaşırdık mı ;,negatif
1294, okullan kasım tarihinde açılsın turizm sezonu ay uzatılsın ;,negatif
1295,b b seyahat toptancısı hotelbeds bugün yaptığı açıklamayla ülkede oteli bulunan radisson group ile bir dağıtım anlaşması imzaladığını duyurdu ;,pozitif
1296,kuzey kibris da turizme hastane engeli ;,negatif
1297,ciler uçuşlar başlasa bile rus turist görmekten mutlu olacaklarını sanmıyoruz  ;,negatif
1298,türkiye de istihdamın yüzde den fazlasını küçük işletmeler sağlıyor ;,negatif
1299, salgın süresince turizmin başlaması için turistten önce ülkelerin kararı gerek şu an ülkemize gelişi serbest bırakmış ülke yok ikna görüşmeleri devam ediyor ;,pozitif
1300,arkadaşlar şehirler arası seyahet de tekli koltuğu almayın çift koltukta yanınıza kimse oturmadığı için böyle bir yolculuk yapabiliyorsunuz   ;,negatif
1301,bu ülkede kültür sanat turizm ile giderse kültür olur şaklabanlık sanat olur şaklabanlık turizm olur misyonerlik reis vizyonuna sahip kadrolara sahip olamadı onun yakını bu hatırlı maalesef işi siyaset olmayıp işinde gücünde olanı da bezdirdi ;,negatif
1302,egenin en güzel yerlerinden biri olan akçay kaz dağlarının ve egenin serin sularının birleştiği yerde senelik otelimiz namaste otel siz değerli misafirlerimizi ağırlamaktadır otelimiz covid sebebi ile tüm kurallara uygun olarak dizayn edilmiştir  ;,pozitif
1303,imalat sanayi kapasite kullanım oranınisan mayıs haziran elektrik tüketimine ve kredi kartlı harcamalara benzer sinyal veriyor haziranda önceki iki aya göre toparlanma var ama hala ekonomi önemli ölçüde daralıyor turizm gibi toparlanmayanları da unutmamalı ;,negatif
1304,turizm de hizmet çeşitliliğini artırmada önemli girişim migros deniz market  ;,pozitif
1305,disneyland gelecek diye söz verirsen ve en sonunda parkı sen yaparsan bu olur turizm in olmadığı yerlerde bu proje batar antalya ve istanbul haricinde bu parklar net batar operasyon maliyetini bile karşılayamaz ;,negatif
1306,antalya manavgat kısalar daki vakıf parselin ihalesini kazanan turizm yatırımları aş ile yapım karşılığı kiralama sözleşmesi bugün imzalandı hayırlı olsun  ;,pozitif
1307,iga istanbul havalimanı ab havacılık emniyeti ajansı nın easa yayınladığı kovid havacılık sağlık emniyeti protokolü nü imzalayan havalimanları arasına katıldı  ;,pozitif
1308,mevsimlerden yaz tedbirleri olalım çimenlere basalım çiçekleri koparmayalım her zaman her yerde sağdan yürüyelim ;,pozitif
1309,kaş yerlisi turizm yok iş yok desin turizmle veya çiftçilikle alakası olmayanlar zeytinliği imara açsın iyimi tüm ülke bilsin ;,pozitif
1310,sosyal mesafe ve üstün hijyen koşullarıyla bütün önlemlerimizi alarak tüm hizmetimizle sizi ağırlamak için hazırız ;,pozitif
1311,masmavi suyu eşsiz koyları ve doyumsuz manzarasıyla doğa severlerin ilgisini çeken van gölü sahilleri kısıtlamaların kaldırılmasıyla kampçıların mekanı oldu bitlis van ;,pozitif
1312,çok afedersiniz de turizm size bayılıyordu daha düne kadar yaz gelince otelde tatil yapmak için geberirdiniz yerli turistin bir kezde buradan ağzına sıçayım  ;,negatif
1313,  ersoy hava alanlarında kovid test merkezlerinin kurulacağını açıkladı  ;,pozitif
1314, almanya uçuşlarını durdurdu  ;,negatif
1315,ünlü seyahat rehberi lonely planet dün yaptığı açıklamada apple maps in yenilenen uygulamasında yer alacağını duyurdu ;,pozitif
1316,karaburun türkiye nin karavan merkezi olacak;,pozitif
1317,antalya belediye turizm yetenek yönetimi diye bir olguyu bilmeyen aksine dünyanın en yetenekli insanları kendileri olduğunu zanneden belediye ve otel yönetimleriyle bu şehir bir arpa boyu yol alamadı alamaz da ;,negatif
1318,müdürlerin yalakalık için attığı saksoyu hiç bir porn starda görmedim  ;,negatif
1319,etik başkanı işler okullar ağustos ta açılırsa temmuz da açan ağustos ta kapatan bir sektör durumuna geleceğiz ;,negatif
1320,müsteşarı mustafa erişmen de görevden alındı ;,negatif
1321,alanya da sosyal mesafeli maskesiz deniz keyfi ;,pozitif
1322,ingiliz basını türkiye ye turizm izni verilecek  ;,negatif
1323,koronayı bahane ederek fiyatlarını fırsatçılık politikasına göre yenileyen oteller zamlı fiyatlarıyla dudak uçuklattı bodrum da bir tabak döner tl den satıldı     ;,negatif
1324,türkiye yi uluslararası alanda tanıtmak amacıyla faaliyet gösteren goturkey internet sitesi altın örümcek internet ödülleri nde kamu kurumları dalında en iyi internet sitesi seçildi  ;,pozitif
1325, ten türk turizminde büyüme kararı ;,negatif
1326,turizmde nisan mayıs ayları rakamları ic acıcı değil  ;,negatif
1327,muğla nın kalbi menteşe  ;,pozitif
1328,istanbul dan kalkış yaparak vıp araçlarımızla bodrum antalya sapanca ve bir çok bölgeye araçlarımızla sizleri güven içerisinde transferinizi yapıyoruz  ;,pozitif
1329,expedia grubu dün yaptığı basın açıklamasında homeaway markasını kapatma kararı aldığını duyurdu  ;,negatif
1330,kültür ve sanat tesislerinde uygulanacak koronavirüs tedbirleri açıklandı ;,pozitif
1331,alternatif turizmin canlandırılması hedefleniyor  ;,negatif
1332,kültür ve turizm bakanlığınca kontrollü normalleşme sürecinde kültür ve sanat tesislerinde alınması gereken önlemler belirlendi   ;,negatif
1333,  ersoy aa editör masası programında soruları yanıtlıyor  ;,pozitif
1334, türkiye de daha büyüyecek ;,pozitif
1335,cennetten bir köşe hepinize mutlu güzel sabahlar  ;,pozitif
1336, istihdamdan turizme kadar bütün alanlara dokunacağız ;,pozitif
1337, unwto yeni tip koronavirüs kovid salgını nedeniyle nisanda dünyada turist sayısında önceki yıla göre yüzde düşüş olduğunu duyurdu ;,negatif
1338,size bir fıkra anlatacağım geçtiğimiz hafta sınav kısıtlaması nedeniyle hotellere müşterilerinin denize girmemesi talimatı verilmiş işbu fıkranın kahramanı olan hotelin dışarıyla bağlantısı zaten yok dahası hotelin bulunduğu belde de sınav merkezi bile yok  ;,negatif
1339,turizm düşmanları iş başında liraya döner satmışlar ;,negatif
1340,il başkanımızın panorama ve arkeoloji müzesi ile ilgili basın açıklaması;,pozitif
1341,havalimanına inen bir yolcu bir otobüsün daha çalışmaya başlaması pazardan marketten bir kişinin daha alışveriş yapması birkaç otelin açılması bu zor günlerde değerli umarız çalışmalar olumlu sonuç verir ve son çeyrekte bir hareketlenme görürüz  ;,negatif
1342,  yeni normal hayatta turizm i ve dünya ile ülkemizdeki geleceğini konuşacağız keyifli sohbetimize bekliyoruz ;,pozitif
1343,muğla nın marmaris ilçesine gitmedim demeyin  ;,pozitif
1344,hasankeyf in eşsiz doğa güzelliğinde yamaç paraşüdü keyfi  ;,pozitif
1345,haftanın önemli gündem konuları turizme global bakış programında konuşuldu ;,pozitif
1346,gümüşler manastırı ve andaval ören yeri koronavirüs normalleşme sürecinde yeniden ziyaretçilere açıldı  ;,negatif
1347,dünyanın favori turizm destinasyonu seçilen cennet vatanımız ve sırada listeye giren van ımız ;,pozitif
1348,türk hava yolları ve lufthansa nın ortak kuruluşu  atakta ;,pozitif
1349,turizmi canlandırmak için ücretsiz tatil   ;,pozitif
1350,turizm sektörü hani nereye battı diyenlere   ;,negatif
1351,merkezi ispanya nın başkenti madrid de olan birleşmiş milletler dünya turizm örgütü unwto yeni tip koronavirüsün kovid turizme etkileriyle ilgili yeni veriler açıkladı ;,negatif
1352, unwto yeni tip corona virüs covid salgını nedeniyle nisanda dünyada turist sayısında önceki yıla göre yüzde düşüş olduğunu duyurdu ;,negatif
1353,  turizmcinin odenegi dek uzatilmali heryil magduriyet yaşayan turizmci cevabini oy sandiginda veriyor antalya ve ilcelerden oy almak cok zor turizmi kalkindiran calisana gereken deger verilene  ;,negatif
1354, turizm calisanlari yillardir magdur oldular ve her kirizden en cok etkilenen onlardi turizm calisanlarinin  odenegi dek devam etmeli cunku bu yil bir mechulde sektor sahipsiz birakilan turizmci bunu   ;,negatif
1355, türk turizm pazarına daha fazla yoğunlaşmak için temel faaliyet alanını türkiye üzerine konumlandırıyor  ;,pozitif
1356,bir ilde daha balon turizmi başlıyor  ;,negatif
1357, almanya operasyonlarını durdurdu  ;,negatif
1358,covid çalışanları olarak sigortalı işsiziz ;,pozitif
1359,türk konseyi ülkeleri toplandi  ;,pozitif
1360,bakınız yine turizm gündemi snersoy un gündeminde hiç kültür olmadı bakan yard ile de yürümüyor yazık oluyor kültürümüze kültürbakanlığı bağımsız olmalı ve siyasi değil liyakatlı isimlerle yürütülmelidir ;,negatif
1361, havayolları türkiye odaklı iç hat hava ulaşımı üzerine yoğunlaşma kararı aldı ;,negatif
1362,gap bölge kalkınma idaremiz ve bölge kalkınma ajanslarımızla bir araya gelerek turizm alanında beraber yürütebileceğimiz faaliyetleri istişare ettik ;,pozitif
1363,fazla söze gerek yok her anlamda gizem dolu keşfedilmeyi bekleyen muhteşem manzaraların ev sahibi vietnam ;,pozitif
1364,tav havalimanları holding iştiraklerinden havaş ta genel müdürlük görevini yürüten kürşad koçak holding bünyesinde işletmelerden sorumlu grup başkanı coo olarak atandı ;,negatif
1365,koronavirüs ile mücadeledeki normalleşme sürecinde otobüslerde yolculara sıcak ikram yapılmaması ikram edilen yiyecek ve içeceklerin ambalajlı olması şartı getirildi  ;,negatif
1366,türkiye ye karşı tutumu ile bilinen alman bild gazetesi türkiye deki turizm de alınan covid tedbirlerini övmekte yazının gazetedeki başlığı bile mükemmel havuz görevlileri bile maske takmakta  ;,negatif
1367,karayolu yolcu taşımacılığında yolcuya sıcak servis yapılamayacak  ;,negatif
1368,dubai de ekonomik ve turizm faaliyetlerinin geri dönüşü yeniden başlıyor dubai dünyanın her yerinden ziyaretçileri memnuniyetle hoşlanıyor;,pozitif
1369,dünyanin en tehlikeli seyahat noktalari koronavirüs salgını öncesinde   ;,negatif
1370,tui rusya nın ilk uçağı antalya ya indi  ;,pozitif
1371,belediye bir yöneticinin varlık nedeni sorun çözen ve karar veren kişi olmasıdır belediyelerde olduğu gibi özellikle turizmde yönetici müteşebbisin asistanıdır böyle bir organizasyon yapısı ve anlayışıyla ilerlemek halüsinasyondur ;,negatif
1372,uncu unesco dan urfa için söz aldık  ;,pozitif
1373,medeniyetler şehri hatay ımızdan herkese mutlu pazarlar dilerim ;,pozitif
1374,antalya belediye turizm şu anki hiçbir siyasi ilk seçimde oy kullanacak milyonluk z kuşağını yakalayamaz ;,negatif
1375,eğer o dükkan pis ise o dükkanda doğru düzgün servis yoksa aldığınız hizmetle ödediğiniz para arasında fark olduğunu düşünüyorsanız sonuna kadar gider denetleriz gereğini de yaparız dedi  ;,pozitif
1376,bodrum belediye başkanı ndan aşırı pahalı döner fiyatlarına yapılan eleştirilere yanıt bodrum da her şey ucuz olsun dersek bu insanlar farklı yerlere gider bodrum un ekmek parası turizmdir   ;,negatif
1377,turizm söğüt oba kent projesi ile film platosuna dönecek osmanlı imparatorluğu nun temellerinin atıldığı her yıl yüzbinlerce kişinin ziyaret ettiği bilecik in söğüt ilçesi gerçekleştirilecek projeler sonrası adeta bir film platosuna dönecek  ;,pozitif
1378,turizm rotasını lezzetiyle buluşturan yer mardin  ;,pozitif
1379,balonla uzay turizmi mümkün hale geliyor ;,pozitif
1380,rektör kavuncu sağlık turizminin önemini vurguladı ;,pozitif
1381,kültür ve turizm bakanlığı türkiye de tatilin güvenli olduğu mesajını veren ve ziyaretçilerin tatillerinde türkiye de doğa ve tarihi bir arada tecrübe edebileceğini anlatan bir video hazırladı;,pozitif
1382, derece dönebilen ters ev yapıldı  ;,negatif
1383,avrupalı türkleri küstürmeye çalışanlar kesin provakatör ve haindirler ;,negatif
1384,bu sekilde ic ice oturmalar serbest de dugunlere neden kisitlama geliyor aklim almiyor  ;,negatif
1385,dört mevsim sağlıklı tatilin adresinde evinizi aratmayacak dairelerde sınırsız sosyal imkanlarla şifa bulun dinlenin sosyal mesafe ve üstün hijyen koşullarıyla bütün önlemlerimizi alarak tüm hizmetimizle sizi bekliyoruz ;,pozitif
1386,kazakistan dan gelen uçakta vaka var;,negatif
1387, yani devlet diyor ki ey ihtiyarlar öyle kafanıza göre arabanıza atlayıp sağda solda turizm amaçlı gezemezsiniz ;,negatif
1388,ingiltere turizm canlandırma programında türkiye yi şüpheli bulup listeye almadı  ;,negatif
1389, rusya ankara büyükelçisi aleksey erkhov türkiye nin turist akışını sürdürme ve tatile gelen turistlerin sağlık ve güvenliğini sağlama çabalarından etkilendim   ;,negatif
1390,antalya belediye turizm nice kaynak kifayetsiz ellerde heder oluyor ;,negatif
1391, turizm çalışanları iş başı yapamadı ve borçları icra lik avukat lar ise hakaretle para istiyor kalp hastası babam aranıyor sen nasıl babasin deniyor ne yapayım borç harç bulup borcumu ödeyeceğim ama bu halimiz ne olacak zenginin borcu silinir bizim ;,negatif
1392,eee turizmi yaşatıyor musunuz bizi öldürdükten sonra ;,pozitif
1393,stratonikeia kültür varlıklarımızı turizmin hizmetine sunmaya hazırlanıyor    ;,pozitif
1394,acenta temsilcileri marmaris i gezdi ;,pozitif
1395,her mevsim bir başka güzeldir erciyes erciyes ;,pozitif
1396,insanlardan nefret edip turizme aşkla bağlanan o salak benim işte  ;,negatif
1397,kitapçık yayınlandı falan filan var diye tüm sınav iptal olmaz heves etmeyin ;,negatif
1398,allahım tüm esnaflara yardım etsin  ;,pozitif
1399,  ersoy twitter dan tatile çıkacaklar için alınan önlemleri içeren video paylaştı ;,pozitif
1400,tüm odalarımız dezenfekte edildikten sonra gün boş bırakılarak yeni misafirlerimizin kullanımına sunulmaktadır sağlıklı tatiller dileriz ;,pozitif
1401,bakanlarımız berlin e geliyor    ;,pozitif
1402,ingiltere den güzel haber şimdi geldi helal olsun ingilizlere;,pozitif
1403,vali sonel her alanda ordu yu daha ileriye götüreceğiz  ;,pozitif
1404,turizm dibi gördü ;,negatif
1405,beyazgül canlı yayında seslendi salgın sonrası bekliyoruz  ;,pozitif
1406, gündemrusya nın ankara büyükelçisi yerhov türkiye nin turizmdeki kovid önlemlerini değerlendirdi  ;,pozitif
1407,tav havalimanları tarafından işletilen izmir adnan menderes havalimanı nda corendon havayolları nın bu sezon düzenlediği ilk uçuş su takı ve çiçeklerle karşılandı ;,pozitif
1408,gurbetçiler için havaalanları ve sınır kapılarında test merkezi kuruluyor ;,pozitif
1409,alanya turizmini sevindiren açiklama ;,pozitif
1410,yurt dışına çıkmak için gerekli olan pcr testinin ücreti belli oldu ;,pozitif
1411,turizm bakanına ait ets tur a istisnalar ;,pozitif
1412,japonya nın en büyük seyahat acentalarından his covid kriziyle ilgili aldığı tasarruf tedbirleri gereği japonya daki satış noktalarının yaklaşık üçte birini bir yıl içinde kapatmayı planlıyor ;,negatif
1413,bakan ersoy bu yeni dönemde sevdiklerinizin mutluluğundan keyfinizden ödün vermeden tatilinizi gönlünüzce yaşayın diye sizin için her türlü detayı düşündük  v;,pozitif
1414,ingiltere turist göndereceği ülkeler için trafik işığı sistemi uygulayacak işte türkiye nin durumu;,pozitif
1415, yılında günyüzü de görmedik demezsiniz ;,pozitif
1416,yaptığımız işin ciddiyetini biliyoruz ;,pozitif
1417,seyahatlerinizi profesyonel turist rehberleri ile daha da anlamlı hale getirirsiniz ;,pozitif
1418,z kuşağı ndan tokat gibi cevap  ;,pozitif
1419,turizm de korkunç bir yıl ukrayna ve ruslar yunanistan ı terci ediyor ayrıca rusya da bütün uçuşlar kırım da soçi ve simferopol e ab ve özellikle almanya nın türkiye yi korona listesinden çıkarmaması thy nı da kötü etkileyecek  ;,negatif
1420,huzurlu ve keyifli bir haftasonu diliyorum bu arada yeni öğrendim meğer telmessos tiyatrosunun yanında bir yanı oyulmuş kayaya yaslanmış apollon tapınağı varmış  ;,pozitif
1421,yerli ve yabancı turistlere önceden rezervasyon yapanlara seyahat planı yapanlara sokağa çıkma yasağı yokmuş hatta rezervasyon yaptıkları otele araçları ile de gidebilirlermiş ;,pozitif
1422,ingiltere hükümeti tatile gidilecek ülkeleri açıklayacak;,pozitif
1423,rekabet kurumu tatil budur daki pay devrini onayladı  ;,negatif
